us_state,lookback,month,humidity,region
Alabama,L10Y,1,6.88513398888001,Southeast
Alabama,L10Y,2,5.727028691479482,Southeast
Alabama,L10Y,3,8.84737591552235,Southeast
Alabama,L10Y,4,7.520247891839067,Southeast
Alabama,L10Y,5,9.641116108728086,Southeast
Alabama,L10Y,6,13.709631049943116,Southeast
Alabama,L10Y,7,16.394949173547822,Southeast
Alabama,L10Y,8,16.16732787104951,Southeast
Alabama,L10Y,9,16.451393485070934,Southeast
Alabama,L10Y,10,12.126335772982175,Southeast
Alabama,L10Y,11,8.245598383607428,Southeast
Alabama,L10Y,12,7.186182396532151,Southeast
Alabama,L1Y,1,13.229297820694875,Southeast
Alabama,L1Y,2,3.0394310783072807,Southeast
Alabama,L1Y,3,12.181662100025987,Southeast
Alabama,L1Y,4,2.560184205837715,Southeast
Alabama,L1Y,5,7.630466728478106,Southeast
Alabama,L1Y,6,10.342082617970851,Southeast
Alabama,L1Y,7,16.508862838003704,Southeast
Alabama,L1Y,8,18.074163350709185,Southeast
Alabama,L1Y,9,16.321296893981174,Southeast
Alabama,L1Y,10,13.690331527294191,Southeast
Alabama,L1Y,11,7.140888425112626,Southeast
Alabama,L1Y,12,5.1836689766899475,Southeast
Alabama,L3Y,1,9.39564564504503,Southeast
Alabama,L3Y,2,4.200386195503323,Southeast
Alabama,L3Y,3,9.014881233670694,Southeast
Alabama,L3Y,4,3.5406717161195105,Southeast
Alabama,L3Y,5,8.912171470366127,Southeast
Alabama,L3Y,6,10.78131833812014,Southeast
Alabama,L3Y,7,17.046028560506098,Southeast
Alabama,L3Y,8,17.204457370180773,Southeast
Alabama,L3Y,9,17.059316701305274,Southeast
Alabama,L3Y,10,12.138644960147515,Southeast
Alabama,L3Y,11,6.224680240136159,Southeast
Alabama,L3Y,12,5.227483015983868,Southeast
Alabama,L5Y,1,7.80297283979716,Southeast
Alabama,L5Y,2,5.306683542453875,Southeast
Alabama,L5Y,3,10.584248942690113,Southeast
Alabama,L5Y,4,4.9210984020367885,Southeast
Alabama,L5Y,5,8.990387059154502,Southeast
Alabama,L5Y,6,12.825879524791652,Southeast
Alabama,L5Y,7,17.409649080853292,Southeast
Alabama,L5Y,8,16.210534172609137,Southeast
Alabama,L5Y,9,16.46175548056057,Southeast
Alabama,L5Y,10,12.241315734284976,Southeast
Alabama,L5Y,11,7.870532211755936,Southeast
Alabama,L5Y,12,7.163480646859869,Southeast
Arizona,L10Y,1,2.8855492366772406,Southwest
