us_state,month,humidity,region
Alabama,0,10.919663,Southeast
Alabama,1,9.117307,Southeast
Alabama,2,14.081112,Southeast
Alabama,3,11.966417,Southeast
Alabama,4,15.306306,Southeast
Alabama,5,21.733467,Southeast
Alabama,6,25.904972,Southeast
Alabama,7,25.572218,Southeast
Alabama,8,26.015793,Southeast
Alabama,9,19.268583,Southeast
Alabama,10,13.091345,Southeast
Alabama,11,11.429271,Southeast
Arizona,0,4.0184436,Southwest
Arizona,1,4.882909,Southwest
Arizona,2,5.099123,Southwest
Arizona,3,4.908255,Southwest
Arizona,4,5.6192327,Southwest
Arizona,5,5.957063,Southwest
Arizona,6,10.457182,Southwest
Arizona,7,17.294538,Southwest
Arizona,8,15.353196,Southwest
Arizona,9,8.587971,Southwest
Arizona,10,6.3977323,Southwest
Arizona,11,4.9800463,Southwest
Arkansas,0,6.1610174,Southeast
Arkansas,1,8.949419,Southeast
Arkansas,2,9.780535,Southeast
Arkansas,3,10.873918,Southeast
Arkansas,4,13.885189,Southeast
Arkansas,5,20.102938,Southeast
Arkansas,6,24.293371,Southeast
Arkansas,7,23.64303,Southeast
Arkansas,8,24.283281,Southeast
Arkansas,9,17.47578,Southeast
Arkansas,10,10.209916,Southeast
Arkansas,11,9.112493,Southeast
California,0,4.383599,West
California,1,5.8715744,West
California,2,6.2401185,West
California,3,6.7707953,West
California,4,7.1889224,West
California,5,9.38012,West
California,6,11.783414,West
California,7,12.5078945,West
California,8,11.545685,West
California,9,8.701838,West
California,10,7.764273,West
California,11,6.557384,West
Colorado,0,1.7930298,West
Colorado,1,2.5852578,West
Colorado,2,2.629979,West
Colorado,3,3.5765107,West
Colorado,4,5.133206,West
Colorado,5,7.6750774,West
Colorado,6,10.148675,West
Colorado,7,12.110637,West
Colorado,8,10.332012,West
Colorado,9,7.5224376,West
Colorado,10,4.1898723,West
Colorado,11,2.5489893,West
Connecticut,0,4.752014,Northeast
Connecticut,1,4.1391473,Northeast
Connecticut,2,4.9230747,Northeast
Connecticut,3,6.736505,Northeast
Connecticut,4,9.367739,Northeast
Connecticut,5,14.140678,Northeast
Connecticut,6,21.514832,Northeast
Connecticut,7,20.326036,Northeast
Connecticut,8,18.691889,Northeast
Connecticut,9,12.629901,Northeast
Connecticut,10,8.873818,Northeast
Connecticut,11,7.367504,Northeast
Delaware,0,5.786376,Northeast
Delaware,1,5.2605596,Northeast
Delaware,2,7.345538,Northeast
Delaware,3,8.191057,Northeast
Delaware,4,13.095151,Northeast
Delaware,5,19.056934,Northeast
Delaware,6,24.751064,Northeast
Delaware,7,24.881886,Northeast
Delaware,8,23.364626,Northeast
Delaware,9,15.410024,Northeast
